,decoder,video,time,num_frames,num_threads,codec
0,decord_cpu,WUzgd7C1pWA,0.08931418415158987,327,1,original
1,tv_newAPI,WUzgd7C1pWA,0.15089812688529491,327,1,original
2,pyav,WUzgd7C1pWA,0.18470636010169983,327,1,original
3,tv_vr,WUzgd7C1pWA,0.19725645519793034,327,1,original
4,tv_pyav,WUzgd7C1pWA,0.23216901253908873,327,1,original
5,openCV,WUzgd7C1pWA,0.04548603855073452,327,1,original
6,torchaudio,WUzgd7C1pWA,0.14845792297273874,327,1,original
7,decord_cpu,TrumanShow_wave_f_nm_np1_fr_med_26,0.0218001464381814,49,1,original
8,tv_newAPI,TrumanShow_wave_f_nm_np1_fr_med_26,0.010610806755721569,49,1,original
9,pyav,TrumanShow_wave_f_nm_np1_fr_med_26,0.014027410186827183,49,1,original
10,tv_vr,TrumanShow_wave_f_nm_np1_fr_med_26,0.011832645162940025,49,1,original
11,tv_pyav,TrumanShow_wave_f_nm_np1_fr_med_26,0.016907104291021824,49,1,original
12,openCV,TrumanShow_wave_f_nm_np1_fr_med_26,0.015714439563453197,49,1,original
13,torchaudio,TrumanShow_wave_f_nm_np1_fr_med_26,0.01014280691742897,49,1,original
14,decord_cpu,v_SoccerJuggling_g24_c01,0.04226310085505247,251,1,original
15,tv_newAPI,v_SoccerJuggling_g24_c01,0.030646403320133686,251,1,original
16,pyav,v_SoccerJuggling_g24_c01,0.04912657290697098,251,1,original
17,tv_vr,v_SoccerJuggling_g24_c01,0.0459678340703249,251,1,original
18,tv_pyav,v_SoccerJuggling_g24_c01,0.06244687922298908,251,1,original
19,openCV,v_SoccerJuggling_g24_c01,0.026651480235159397,251,1,original
20,torchaudio,v_SoccerJuggling_g24_c01,0.029773863032460213,251,1,original
21,decord_cpu,R6llTwEh07w,0.0874000582844019,303,1,original
22,tv_newAPI,R6llTwEh07w,0.14871020149439573,303,1,original
23,pyav,R6llTwEh07w,0.17827642615884542,303,1,original
24,tv_vr,R6llTwEh07w,0.17210339941084385,303,1,original
25,tv_pyav,R6llTwEh07w,0.22505601961165667,303,1,original
26,openCV,R6llTwEh07w,0.04098312556743622,303,1,original
27,torchaudio,R6llTwEh07w,0.14557233452796936,303,1,original
28,decord_cpu,SOX5yA1l24A,0.09232895448803902,332,1,original
29,tv_newAPI,SOX5yA1l24A,0.1210000803694129,332,1,original
30,pyav,SOX5yA1l24A,0.15382130444049835,332,1,original
31,tv_vr,SOX5yA1l24A,0.14498670864850283,332,1,original
32,tv_pyav,SOX5yA1l24A,0.1910105524584651,332,1,original
33,openCV,SOX5yA1l24A,0.03659908194094896,332,1,original
34,torchaudio,SOX5yA1l24A,0.11884215474128723,332,1,original
35,decord_cpu,v_SoccerJuggling_g23_c01,0.06055709347128868,240,1,original
36,tv_newAPI,v_SoccerJuggling_g23_c01,0.03497088700532913,240,1,original
