,decoder,video,time,num_frames,num_threads,codec
0,pyav,WUzgd7C1pWA.mp4,0.17380838748067617,1,1,original
1,tv_newapi,WUzgd7C1pWA.mp4,0.18608952034264803,1,1,original
2,decord,WUzgd7C1pWA.mp4,0.034715414978563786,1,1,original
3,torchaudio,WUzgd7C1pWA.mp4,0.2628600727766752,1,1,original
4,pyav,WUzgd7C1pWA.mp4,0.17735610995441675,5,1,original
5,tv_newapi,WUzgd7C1pWA.mp4,0.18829458393156528,5,1,original
6,decord,WUzgd7C1pWA.mp4,0.034694256260991096,5,1,original
7,torchaudio,WUzgd7C1pWA.mp4,0.26683135982602835,5,1,original
8,pyav,WUzgd7C1pWA.mp4,0.1883058398962021,10,1,original
9,tv_newapi,WUzgd7C1pWA.mp4,0.1980189299210906,10,1,original
10,decord,WUzgd7C1pWA.mp4,0.036113851703703403,10,1,original
11,torchaudio,WUzgd7C1pWA.mp4,0.27718090545386076,10,1,original
12,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.0012532463297247887,1,1,original
13,tv_newapi,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.0018541980534791946,1,1,original
14,decord,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.0074378084391355515,1,1,original
15,torchaudio,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.0035377833992242813,1,1,original
16,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.003138401545584202,5,1,original
17,tv_newapi,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.0030980557203292847,5,1,original
18,decord,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.010880852118134499,5,1,original
19,torchaudio,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.006875264458358288,5,1,original
20,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.005578361451625824,10,1,original
21,tv_newapi,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.004801386967301369,10,1,original
22,decord,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.01356004923582077,10,1,original
23,torchaudio,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.010315485298633575,10,1,original
24,pyav,v_SoccerJuggling_g24_c01.avi,0.002261214889585972,1,1,original
25,tv_newapi,v_SoccerJuggling_g24_c01.avi,0.0021940618753433228,1,1,original
26,decord,v_SoccerJuggling_g24_c01.avi,0.006640119478106499,1,1,original
27,torchaudio,v_SoccerJuggling_g24_c01.avi,0.041191911324858665,1,1,original
