,decoder,video,time,num_frames,frames_read
0,pyav,WUzgd7C1pWA.mp4,0.1220244662836194,1,1
1,tv_cpp,WUzgd7C1pWA.mp4,0.1323529202491045,1,1
2,decord,WUzgd7C1pWA.mp4,0.03027815744280815,1,1
3,torchaudio,WUzgd7C1pWA.mp4,0.1827581198886037,1,1
4,pyav,WUzgd7C1pWA.mp4,0.12741519324481487,5,5
5,tv_cpp,WUzgd7C1pWA.mp4,0.13662885781377554,5,5
6,decord,WUzgd7C1pWA.mp4,0.04137050919234753,5,5
7,torchaudio,WUzgd7C1pWA.mp4,0.1899994807317853,5,5
8,pyav,WUzgd7C1pWA.mp4,0.13637523353099823,10,10
9,tv_cpp,WUzgd7C1pWA.mp4,0.1457150699570775,10,10
10,decord,WUzgd7C1pWA.mp4,0.04518764279782772,10,10
11,torchaudio,WUzgd7C1pWA.mp4,0.1995584713295102,10,10
12,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.0019900621846318245,1,1
13,tv_cpp,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.0027865255251526833,1,1
14,decord,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.0115590151399374,1,1
15,torchaudio,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.0051424941048026085,1,1
16,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.004834040068089962,5,5
17,tv_cpp,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.004595289938151836,5,5
18,decord,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.016668076626956463,5,5
19,torchaudio,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.009599241428077221,5,5
20,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.008624546229839325,10,10
21,tv_cpp,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.007242901250720024,10,10
22,decord,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.020068714395165443,10,10
23,torchaudio,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.015191210433840752,10,10
24,pyav,v_SoccerJuggling_g24_c01.avi,0.0027466360479593277,1,1
25,tv_cpp,v_SoccerJuggling_g24_c01.avi,0.0017109988257288933,1,1
26,decord,v_SoccerJuggling_g24_c01.avi,0.0068891216069459915,1,1
27,torchaudio,v_SoccerJuggling_g24_c01.avi,0.04759181197732687,1,1
28,pyav,v_SoccerJuggling_g24_c01.avi,0.004682653583586216,5,5
29,tv_cpp,v_SoccerJuggling_g24_c01.avi,0.002793585881590843,5,5
30,decord,v_SoccerJuggling_g24_c01.avi,0.008390357717871666,5,5
31,torchaudio,v_SoccerJuggling_g24_c01.avi,0.05041108559817076,5,5
32,pyav,v_SoccerJuggling_g24_c01.avi,0.0071698082610964775,10,10
33,tv_cpp,v_SoccerJuggling_g24_c01.avi,0.004189217463135719,10,10
34,decord,v_SoccerJuggling_g24_c01.avi,0.010680382139980793,10,10
35,torchaudio,v_SoccerJuggling_g24_c01.avi,0.05409707222133875,10,10
36,pyav,R6llTwEh07w.mp4,0.11565606202930212,1,1
37,tv_cpp,R6llTwEh07w.mp4,0.12664079386740923,1,1
38,decord,R6llTwEh07w.mp4,0.030543390661478043,1,1
39,torchaudio,R6llTwEh07w.mp4,0.17441112827509642,1,1
40,pyav,R6llTwEh07w.mp4,0.1218254892155528,5,5
41,tv_cpp,R6llTwEh07w.mp4,0.13229741249233484,5,5
42,decord,R6llTwEh07w.mp4,0.036335064098238945,5,5
43,torchaudio,R6llTwEh07w.mp4,0.18269811756908894,5,5
44,pyav,R6llTwEh07w.mp4,0.130908009596169,10,10
45,tv_cpp,R6llTwEh07w.mp4,0.14457620587199926,10,10
46,decord,R6llTwEh07w.mp4,0.03347186278551817,10,10
47,torchaudio,R6llTwEh07w.mp4,0.19289707206189632,10,10
48,pyav,SOX5yA1l24A.mp4,0.04333693906664848,1,1
49,tv_cpp,SOX5yA1l24A.mp4,0.05087079852819443,1,1
50,decord,SOX5yA1l24A.mp4,0.014738117344677448,1,1
51,torchaudio,SOX5yA1l24A.mp4,0.14463251363486052,1,1
52,pyav,SOX5yA1l24A.mp4,0.04842835012823343,5,5
53,tv_cpp,SOX5yA1l24A.mp4,0.056066034361720085,5,5
54,decord,SOX5yA1l24A.mp4,0.0203231954947114,5,5
55,torchaudio,SOX5yA1l24A.mp4,0.15095224045217037,5,5
56,pyav,SOX5yA1l24A.mp4,0.05527353100478649,10,10
57,tv_cpp,SOX5yA1l24A.mp4,0.06195720564574003,10,10
58,decord,SOX5yA1l24A.mp4,0.026916014961898327,10,10
59,torchaudio,SOX5yA1l24A.mp4,0.1599978068843484,10,10
60,pyav,v_SoccerJuggling_g23_c01.avi,0.0032417187467217445,1,1
61,tv_cpp,v_SoccerJuggling_g23_c01.avi,0.0015931250527501106,1,1
62,decord,v_SoccerJuggling_g23_c01.avi,0.006955329328775406,1,1
63,torchaudio,v_SoccerJuggling_g23_c01.avi,0.05134387966245413,1,1
64,pyav,v_SoccerJuggling_g23_c01.avi,0.005522357299923897,5,5
65,tv_cpp,v_SoccerJuggling_g23_c01.avi,0.0030485764145851135,5,5
66,decord,v_SoccerJuggling_g23_c01.avi,0.00865341629832983,5,5
67,torchaudio,v_SoccerJuggling_g23_c01.avi,0.05468165222555399,5,5
68,pyav,v_SoccerJuggling_g23_c01.avi,0.009025265462696552,10,10
69,tv_cpp,v_SoccerJuggling_g23_c01.avi,0.005296673625707626,10,10
70,decord,v_SoccerJuggling_g23_c01.avi,0.010894515551626682,10,10
71,torchaudio,v_SoccerJuggling_g23_c01.avi,0.06036625895649195,10,10
72,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.001937909983098507,1,1
73,tv_cpp,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.0027927998453378677,1,1
74,decord,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.011864488944411278,1,1
75,torchaudio,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.004833548329770565,1,1
76,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.00441222358494997,5,5
77,tv_cpp,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.004496471956372261,5,5
78,decord,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.012863407842814922,5,5
79,torchaudio,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.008163654245436192,5,5
80,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.0079188272356987,10,10
81,tv_cpp,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.006715059280395508,10,10
82,decord,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.015214319340884686,10,10
83,torchaudio,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.013237815350294113,10,10
84,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.0022901762276887894,1,1
85,tv_cpp,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.003180289641022682,1,1
86,decord,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.013907612301409245,1,1
87,torchaudio,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.006045576184988022,1,1
88,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.005650955252349377,5,5
89,tv_cpp,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.005556982010602951,5,5
90,decord,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.01837799232453108,5,5
91,torchaudio,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.012861504219472408,5,5
92,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.01044707652181387,10,10
93,tv_cpp,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.009356732480227947,10,10
94,decord,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.026077698916196823,10,10
95,torchaudio,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.019677485339343548,10,10
