,loader,video,time,num_frames,tv
0,CV2,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.07101545379991876,72,0.8.0a0+0344603
1,pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.03324042950007424,72,0.8.0a0+0344603
2,pyav_notorgb,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.01704700279988174,72,0.8.0a0+0344603
3,tv_pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.043498958199961635,72,0.8.0a0+0344603
4,tv_vr,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.029239694900024916,72,0.8.0a0+0344603
5,decord,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.10992113800002698,72,0.8.0a0+0344603
6,CV2,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.0477302346000215,48,0.8.0a0+0344603
7,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.020325335500092478,48,0.8.0a0+0344603
8,pyav_notorgb,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.009857961399939085,48,0.8.0a0+0344603
9,tv_pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.024382238399994094,48,0.8.0a0+0344603
10,tv_vr,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.015587220300039917,48,0.8.0a0+0344603
11,decord,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.05929965909999737,48,0.8.0a0+0344603
12,CV2,SOX5yA1l24A.mp4,0.07814190209992375,332,0.8.0a0+0344603
13,pyav,SOX5yA1l24A.mp4,0.21912258049997035,332,0.8.0a0+0344603
14,pyav_notorgb,SOX5yA1l24A.mp4,0.12934430889999932,332,0.8.0a0+0344603
15,tv_pyav,SOX5yA1l24A.mp4,0.26872141990006637,332,0.8.0a0+0344603
16,tv_vr,SOX5yA1l24A.mp4,0.1689511891998336,332,0.8.0a0+0344603
17,decord,SOX5yA1l24A.mp4,0.10281006189998151,332,0.8.0a0+0344603
18,CV2,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.04951156299994182,74,0.8.0a0+0344603
19,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.023769481899944368,74,0.8.0a0+0344603
20,pyav_notorgb,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.009507268500055944,74,0.8.0a0+0344603
21,tv_pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.028237740800068422,74,0.8.0a0+0344603
22,tv_vr,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.017177780299971347,74,0.8.0a0+0344603
23,decord,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.07700953410003422,74,0.8.0a0+0344603
24,CV2,WUzgd7C1pWA.mp4,0.07656392880016938,327,0.8.0a0+0344603
25,pyav,WUzgd7C1pWA.mp4,0.2275023116999364,327,0.8.0a0+0344603
26,pyav_notorgb,WUzgd7C1pWA.mp4,0.14749484439998922,327,0.8.0a0+0344603
27,tv_pyav,WUzgd7C1pWA.mp4,0.27085757740005645,327,0.8.0a0+0344603
28,tv_vr,WUzgd7C1pWA.mp4,0.19352179110010184,327,0.8.0a0+0344603
29,decord,WUzgd7C1pWA.mp4,0.10843761739997718,327,0.8.0a0+0344603
30,CV2,v_SoccerJuggling_g24_c01.avi,0.06269442530010565,251,0.8.0a0+0344603
31,pyav,v_SoccerJuggling_g24_c01.avi,0.07570511619996978,251,0.8.0a0+0344603
32,pyav_notorgb,v_SoccerJuggling_g24_c01.avi,0.027683244600120817,251,0.8.0a0+0344603
33,tv_pyav,v_SoccerJuggling_g24_c01.avi,0.09051701849984965,251,0.8.0a0+0344603
34,tv_vr,v_SoccerJuggling_g24_c01.avi,0.05656319239988079,251,0.8.0a0+0344603
35,decord,v_SoccerJuggling_g24_c01.avi,0.06264781689988012,251,0.8.0a0+0344603
36,CV2,R6llTwEh07w.mp4,0.0742228196000724,303,0.8.0a0+0344603
37,pyav,R6llTwEh07w.mp4,0.23732403469985003,303,0.8.0a0+0344603
38,pyav_notorgb,R6llTwEh07w.mp4,0.15775727390009706,303,0.8.0a0+0344603
39,tv_pyav,R6llTwEh07w.mp4,0.2807141118999425,303,0.8.0a0+0344603
40,tv_vr,R6llTwEh07w.mp4,0.2028871091999463,303,0.8.0a0+0344603
41,decord,R6llTwEh07w.mp4,0.09622426400001131,303,0.8.0a0+0344603
42,CV2,v_SoccerJuggling_g23_c01.avi,0.06205575359999784,240,0.8.0a0+0344603
43,pyav,v_SoccerJuggling_g23_c01.avi,0.07752536740008509,240,0.8.0a0+0344603
44,pyav_notorgb,v_SoccerJuggling_g23_c01.avi,0.031247005700060983,240,0.8.0a0+0344603
45,tv_pyav,v_SoccerJuggling_g23_c01.avi,0.09046293069986859,240,0.8.0a0+0344603
46,tv_vr,v_SoccerJuggling_g23_c01.avi,0.057912522600054216,240,0.8.0a0+0344603
47,decord,v_SoccerJuggling_g23_c01.avi,0.0641443442000309,240,0.8.0a0+0344603
48,CV2,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.06828641859992786,72,0.8.0a0+0344603
