,loader,video,time,num_frames,tv
0,tv_pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.042280799900072455,72,0.5.0
1,tv_vr,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.0304501522999999,72,0.5.0
2,tv_pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.025419323200003417,48,0.5.0
3,tv_vr,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.01675495300005423,48,0.5.0
4,tv_pyav,SOX5yA1l24A.mp4,0.2681228782999824,332,0.5.0
5,tv_vr,SOX5yA1l24A.mp4,0.1799014744001397,332,0.5.0
6,tv_pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.027779966600064654,74,0.5.0
7,tv_vr,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0.avi,0.01811081079995347,74,0.5.0
8,tv_pyav,WUzgd7C1pWA.mp4,0.27504204559991197,327,0.5.0
9,tv_vr,WUzgd7C1pWA.mp4,0.20220666540008098,327,0.5.0
10,tv_pyav,v_SoccerJuggling_g24_c01.avi,0.08095821260012599,251,0.5.0
11,tv_vr,v_SoccerJuggling_g24_c01.avi,0.0539929870999913,251,0.5.0
12,tv_pyav,R6llTwEh07w.mp4,0.25991799709991026,303,0.5.0
13,tv_vr,R6llTwEh07w.mp4,0.1940085801999885,303,0.5.0
14,tv_pyav,v_SoccerJuggling_g23_c01.avi,0.08365048169998772,240,0.5.0
15,tv_vr,v_SoccerJuggling_g23_c01.avi,0.05836391310003819,240,0.5.0
16,tv_pyav,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.03859838869993837,72,0.5.0
17,tv_vr,RATRACE_wave_f_nm_np1_fr_goo_37.avi,0.02812468580013956,72,0.5.0
18,tv_pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.023013002200059418,48,0.5.0
19,tv_vr,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.01595537379998859,48,0.5.0
20,tv_pyav,SOX5yA1l24A.mp4,0.24301645819996337,332,0.5.0
21,tv_vr,SOX5yA1l24A.mp4,0.16921615760002168,332,0.5.0
