,decoder,video,time,num_frames,num_threads,codec
0,decord_cpu,WUzgd7C1pWA,0.0898534256964922,327,1,original
1,tv_newAPI,WUzgd7C1pWA,0.15077920407056808,327,1,original
2,pyav,WUzgd7C1pWA,0.18510598093271255,327,1,original
3,tv_vr,WUzgd7C1pWA,0.17633508201688528,327,1,original
4,tv_pyav,WUzgd7C1pWA,0.23200785648077726,327,1,original
5,openCV,WUzgd7C1pWA,0.0470934608951211,327,1,original
6,decord_cpu,TrumanShow_wave_f_nm_np1_fr_med_26,0.024098419584333897,49,1,original
7,tv_newAPI,TrumanShow_wave_f_nm_np1_fr_med_26,0.010901116020977496,49,1,original
8,pyav,TrumanShow_wave_f_nm_np1_fr_med_26,0.013970779813826084,49,1,original
9,tv_vr,TrumanShow_wave_f_nm_np1_fr_med_26,0.011760194227099419,49,1,original
10,tv_pyav,TrumanShow_wave_f_nm_np1_fr_med_26,0.022983175329864027,49,1,original
11,openCV,TrumanShow_wave_f_nm_np1_fr_med_26,0.015434587560594081,49,1,original
12,decord_cpu,v_SoccerJuggling_g24_c01,0.048495115526020524,251,1,original
13,tv_newAPI,v_SoccerJuggling_g24_c01,0.030318452417850493,251,1,original
14,pyav,v_SoccerJuggling_g24_c01,0.04886841345578432,251,1,original
15,tv_vr,v_SoccerJuggling_g24_c01,0.03232664857059717,251,1,original
16,tv_pyav,v_SoccerJuggling_g24_c01,0.06616204194724559,251,1,original
17,openCV,v_SoccerJuggling_g24_c01,0.026304180175065993,251,1,original
18,decord_cpu,R6llTwEh07w,0.08837485704571009,303,1,original
19,tv_newAPI,R6llTwEh07w,0.15353600718080998,303,1,original
20,pyav,R6llTwEh07w,0.17674600053578615,303,1,original
21,tv_vr,R6llTwEh07w,0.1536971554160118,303,1,original
22,tv_pyav,R6llTwEh07w,0.21618908550590277,303,1,original
23,openCV,R6llTwEh07w,0.041797034442424774,303,1,original
24,decord_cpu,SOX5yA1l24A,0.08961485922336579,332,1,original
25,tv_newAPI,SOX5yA1l24A,0.12223670724779367,332,1,original
26,pyav,SOX5yA1l24A,0.15393861923366786,332,1,original
27,tv_vr,SOX5yA1l24A,0.12830864507704973,332,1,original
28,tv_pyav,SOX5yA1l24A,0.1985991071909666,332,1,original
29,openCV,SOX5yA1l24A,0.036695871129632,332,1,original
30,decord_cpu,v_SoccerJuggling_g23_c01,0.052755735255777834,240,1,original
31,tv_newAPI,v_SoccerJuggling_g23_c01,0.03481784835457802,240,1,original
32,pyav,v_SoccerJuggling_g23_c01,0.052830209210515025,240,1,original
33,tv_vr,v_SoccerJuggling_g23_c01,0.036788528226315974,240,1,original
34,tv_pyav,v_SoccerJuggling_g23_c01,0.06767753530293703,240,1,original
35,openCV,v_SoccerJuggling_g23_c01,0.025607115030288695,240,1,original
36,decord_cpu,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0,0.022973806224763395,75,1,original
37,tv_newAPI,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0,0.012368340604007244,75,1,original
38,pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0,0.01770202796906233,75,1,original
39,tv_vr,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0,0.013295281492173672,75,1,original
40,tv_pyav,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0,0.027102472074329854,75,1,original
41,openCV,SchoolRulesHowTheyHelpUs_wave_f_nm_np1_ba_med_0,0.017690444737672804,75,1,original
42,decord_cpu,RATRACE_wave_f_nm_np1_fr_goo_37,0.03635958805680275,73,1,original
43,tv_newAPI,RATRACE_wave_f_nm_np1_fr_goo_37,0.019019808806478977,73,1,original
44,pyav,RATRACE_wave_f_nm_np1_fr_goo_37,0.02390496339648962,73,1,original
45,tv_vr,RATRACE_wave_f_nm_np1_fr_goo_37,0.02071390114724636,73,1,original
46,tv_pyav,RATRACE_wave_f_nm_np1_fr_goo_37,0.03496448919177055,73,1,original
47,openCV,RATRACE_wave_f_nm_np1_fr_goo_37,0.025270890817046164,73,1,original
48,decord_cpu,WUzgd7C1pWA,0.09388963766396045,327,4,original
49,tv_newAPI,WUzgd7C1pWA,0.06204322762787342,327,4,original
50,pyav,WUzgd7C1pWA,0.1833641530945897,327,4,original
51,tv_vr,WUzgd7C1pWA,0.15559330731630325,327,4,original
52,tv_pyav,WUzgd7C1pWA,0.22947977129369973,327,4,original
53,openCV,WUzgd7C1pWA,0.04225697498768568,327,4,original
54,decord_cpu,TrumanShow_wave_f_nm_np1_fr_med_26,0.02419681493192911,49,4,original
55,tv_newAPI,TrumanShow_wave_f_nm_np1_fr_med_26,0.013441030494868755,49,4,original
56,pyav,TrumanShow_wave_f_nm_np1_fr_med_26,0.014011676609516143,49,4,original
57,tv_vr,TrumanShow_wave_f_nm_np1_fr_med_26,0.011295144818723202,49,4,original
58,tv_pyav,TrumanShow_wave_f_nm_np1_fr_med_26,0.022974817268550395,49,4,original
59,openCV,TrumanShow_wave_f_nm_np1_fr_med_26,0.015614306554198265,49,4,original
60,decord_cpu,v_SoccerJuggling_g24_c01,0.046286809258162975,251,4,original
