,decoder,video,time,num_frames,num_threads,codec
0,pyav,WUzgd7C1pWA.mp4,0.13776290100067853,1,1,original
1,tv_newapi,WUzgd7C1pWA.mp4,0.14795194528996944,1,1,original
2,decord,WUzgd7C1pWA.mp4,0.03451771922409534,1,1,original
3,pyav,WUzgd7C1pWA.mp4,0.14416865445673466,5,1,original
4,tv_newapi,WUzgd7C1pWA.mp4,0.15372052304446698,5,1,original
5,decord,WUzgd7C1pWA.mp4,0.03247555997222662,5,1,original
6,pyav,WUzgd7C1pWA.mp4,0.15172812435775995,10,1,original
7,tv_newapi,WUzgd7C1pWA.mp4,0.15916528180241585,10,1,original
8,decord,WUzgd7C1pWA.mp4,0.03452022597193718,10,1,original
9,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.0012868279591202736,1,1,original
10,tv_newapi,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.001852680929005146,1,1,original
11,decord,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.007878839038312435,1,1,original
12,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.003094683960080147,5,1,original
13,tv_newapi,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.003035673499107361,5,1,original
14,decord,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.010941567458212375,5,1,original
15,pyav,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.005607300810515881,10,1,original
16,tv_newapi,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.004735891148447991,10,1,original
17,decord,TrumanShow_wave_f_nm_np1_fr_med_26.avi,0.013269841112196446,10,1,original
18,pyav,v_SoccerJuggling_g24_c01.avi,0.0028814584016799926,1,1,original
19,tv_newapi,v_SoccerJuggling_g24_c01.avi,0.002102554962038994,1,1,original
20,decord,v_SoccerJuggling_g24_c01.avi,0.007382761873304844,1,1,original
21,pyav,v_SoccerJuggling_g24_c01.avi,0.004867264814674854,5,1,original
22,tv_newapi,v_SoccerJuggling_g24_c01.avi,0.0032116472721099854,5,1,original
23,decord,v_SoccerJuggling_g24_c01.avi,0.008707653172314167,5,1,original
24,pyav,v_SoccerJuggling_g24_c01.avi,0.007606471329927445,10,1,original
25,tv_newapi,v_SoccerJuggling_g24_c01.avi,0.00488399788737297,10,1,original
26,decord,v_SoccerJuggling_g24_c01.avi,0.011351703479886056,10,1,original
27,pyav,R6llTwEh07w.mp4,0.1891766583546996,1,1,original
28,tv_newapi,R6llTwEh07w.mp4,0.2032902928069234,1,1,original
29,decord,R6llTwEh07w.mp4,0.06405974514782428,1,1,original
30,pyav,R6llTwEh07w.mp4,0.195368018373847,5,1,original
31,tv_newapi,R6llTwEh07w.mp4,0.20727976597845554,5,1,original
32,decord,R6llTwEh07w.mp4,0.06595152951776981,5,1,original
33,pyav,R6llTwEh07w.mp4,0.20573092494159936,10,1,original
34,tv_newapi,R6llTwEh07w.mp4,0.21767135448753833,10,1,original
35,decord,R6llTwEh07w.mp4,0.0677612654864788,10,1,original
