,method,k,time
0,single_tensor,5,8.438099999998894e-06
1,single_tensor,10,4.364219999999363e-06
2,single_tensor,50,3.5294299999999445e-06
3,single_tensor,100,3.750389999999104e-06
4,single_tensor,500,3.707830000001522e-06
5,single_tensor,1000,5.065939999999713e-06
6,single_tensor,5000,6.366570000000405e-06
7,for_loop_nostack,5,1.5759220000000072e-05
8,for_loop_nostack,10,3.0399939999998793e-05
9,for_loop_nostack,50,0.0001910530499999985
10,for_loop_nostack,100,0.0004705047000000007
11,for_loop_nostack,500,0.002754710789999999
12,for_loop_nostack,1000,0.004975027239999998
13,for_loop_nostack,5000,0.0300501803
14,for_loop_stack,5,9.201535999999954e-05
15,for_loop_stack,10,0.00022179153999999813
16,for_loop_stack,50,0.004090681720000005
17,for_loop_stack,100,0.011143608580000004
18,for_loop_stack,500,0.08693319058
19,for_loop_stack,1000,0.19129798682000002
20,for_loop_stack,5000,0.9759466376200001
