,method,k,time
0,single_tensor,5,4.457774000000025e-05
1,single_tensor,10,8.280024000000053e-05
2,single_tensor,50,0.0008751831600000015
3,single_tensor,100,0.0031401454399999995
4,single_tensor,500,0.025351293859999995
5,single_tensor,1000,0.08624250035999999
6,single_tensor,5000,0.4235786907800001
7,for_loop_nostack,5,5.870770999997887e-05
8,for_loop_nostack,10,0.00011960393999999042
9,for_loop_nostack,50,0.003544372679999981
10,for_loop_nostack,100,0.008172137409999962
11,for_loop_nostack,500,0.053183999160000044
12,for_loop_nostack,1000,0.09787432465000002
13,for_loop_nostack,5000,0.5294124619899999
14,for_loop_stack,5,0.0001290577599999665
15,for_loop_stack,10,0.0003351904000000161
16,for_loop_stack,50,0.004556624290000002
17,for_loop_stack,100,0.011193360150000019
18,for_loop_stack,500,0.06220265146999992
19,for_loop_stack,1000,0.17974682521999996
20,for_loop_stack,5000,0.95181200561
